v0,v1
v1,v2
v2,v0
v3,v4
v4,v5
v5,v3
v6,v7
v7,v8
v8,v6
v9,v10
v10,v11
v11,v9
v12,v13
v13,v14
v14,v12
v15,v16
v16,v17
v17,v15
v18,v19
v19,v20
v20,v18
v21,v22
v22,v23
v23,v21
v24,v25
v25,v26
v26,v24
v27,v28
v28,v29
v29,v27
v30,v31
v31,v32
v32,v30
v33,v34
v34,v35
v35,v33
v36,v37
v37,v38
v38,v36
v39,v40
v40,v41
v41,v39
v42,v43
v43,v44
v44,v42
v45,v46
v46,v47
v47,v45
v48,v49
v49,v50
v50,v48
v51,v52
v52,v53
v53,v51
v54,v55
v55,v56
v56,v54
v57,v58
v58,v59
v59,v57
v60,v61
v61,v62
v62,v60
v63,v64
v64,v65
v65,v63
v66,v67
v67,v68
v68,v66
v69,v70
v70,v71
v71,v69
v72,v73
v72,v6
v72,v74
v72,v94
v72,v86
v72,v99
v72,v95
v72,v76
v72,v80
v72,v82
v72,v92
v72,v77
v73,v74
v73,v51
v73,v76
v73,v87
v73,v98
v73,v77
v73,v82
v73,v88
v73,v78
v73,v99
v73,v95
v73,v92
v73,v89
v73,v94
v74,v75
v74,v54
v74,v83
v74,v91
v74,v84
v74,v82
v74,v89
v74,v90
v74,v94
v74,v79
v74,v80
v74,v92
v74,v85
v75,v76
v75,v42
v75,v88
v75,v95
v75,v89
v75,v99
v76,v77
v76,v3
v76,v97
v76,v78
v76,v87
v76,v79
v76,v86
v76,v82
v76,v98
v76,v83
v77,v78
v77,v63
v77,v98
v77,v89
v77,v96
v77,v93
v77,v91
v77,v92
v77,v87
v78,v79
v78,v42
v78,v81
v78,v93
v78,v88
v78,v82
v78,v97
v79,v80
v79,v66
v79,v81
v79,v88
v79,v83
v79,v99
v79,v86
v80,v81
v80,v48
v80,v84
v80,v85
v80,v97
v80,v88
v80,v99
v80,v93
v80,v90
v80,v95
v80,v94
v80,v92
v80,v87
v80,v82
v81,v82
v81,v54
v81,v97
v81,v95
v81,v86
v81,v94
v81,v87
v82,v83
v82,v21
v82,v84
v82,v96
v82,v89
v82,v93
v82,v97
v82,v95
v83,v84
v83,v6
v83,v86
v83,v88
v83,v89
v83,v95
v83,v94
v84,v85
v84,v66
v84,v88
v84,v98
v84,v95
v84,v91
v84,v86
v84,v92
v85,v86
v85,v3
v85,v87
v85,v92
v85,v99
v85,v98
v85,v90
v85,v95
v86,v87
v86,v24
v86,v97
v86,v89
v87,v88
v87,v33
v87,v90
v87,v93
v87,v91
v87,v94
v87,v99
v88,v89
v88,v63
v88,v95
v88,v92
v88,v94
v88,v96
v88,v97
v88,v90
v89,v90
v89,v51
v89,v96
v89,v91
v89,v98
v90,v91
v90,v3
v90,v98
v90,v95
v90,v99
v90,v94
v90,v96
v91,v92
v91,v48
v91,v97
v91,v95
v91,v98
v92,v93
v92,v0
v92,v94
v93,v94
v93,v30
v93,v99
v93,v98
v94,v95
v94,v30
v94,v99
v94,v97
v94,v98
v95,v96
v95,v63
v95,v97
v96,v97
v96,v21
v97,v98
v97,v30
v97,v99
v98,v99
v98,v42
v99,v69
